"TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionHour,TransactionDay,DaysSincePrevious,AmountBalanceRatio,Anomaly,FraudFlag,AI_Explanation"
"TX000267,AC00178,66.9,2023-04-17 16:50:00,Credit,Charlotte,D000221,138.210.196.19,M021,Online,79,Retired,129,4,5238.71,2024-11-04 08:10:00,16,Monday,566,0.01277031941069462,-1,Fraud,Multiple login attempts"
"TX000275,AC00454,1176.28,2023-12-20 16:08:00,Credit,Kansas City,D000476,50.202.8.53,M074,ATM,54,Engineer,174,5,323.69,2024-11-04 08:11:00,16,Wednesday,319,3.633970774506472,-1,Fraud,""High transaction amount, Multiple login attempts"""
"TX000292,AC00284,1036.21,2023-07-21 18:54:00,Debit,Omaha,D000129,93.218.115.132,M067,Online,25,Student,126,1,477.3,2024-11-04 08:12:00,18,Friday,471,2.1709826105174943,-1,Fraud,High transaction amount"
"TX000312,AC00285,1221.65,2023-09-27 16:55:00,Debit,Denver,D000098,83.207.115.164,M091,Online,27,Student,153,1,243.92,2024-11-04 08:10:00,16,Wednesday,403,5.008404394883569,-1,Fraud,High transaction amount"
"TX000341,AC00107,1830.0,2023-03-01 16:31:00,Debit,San Antonio,D000436,62.27.235.199,M082,Online,55,Engineer,238,1,2235.7,2024-11-04 08:11:00,16,Wednesday,613,0.8185355816970077,-1,Fraud,""High transaction amount, Unusually long transaction duration"""
"TX000376,AC00316,1392.54,2023-11-20 16:51:00,Debit,El Paso,D000113,63.67.150.226,M013,Branch,41,Doctor,297,1,13347.69,2024-11-04 08:09:00,16,Monday,349,0.10432816464871449,-1,Fraud,""High transaction amount, Unusually long transaction duration"""
"TX000395,AC00326,6.3,2023-12-14 18:52:00,Debit,Columbus,D000539,210.160.90.52,M017,Branch,80,Retired,283,5,7697.68,2024-11-04 08:12:00,18,Thursday,325,0.0008184284095987362,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX000415,AC00495,83.5,2023-05-15 18:47:00,Debit,Dallas,D000446,34.92.221.183,M100,Branch,61,Retired,91,5,1749.79,2024-11-04 08:07:00,18,Monday,538,0.047720012115739605,-1,Fraud,Multiple login attempts"
"TX000429,AC00182,677.29,2023-05-01 18:28:00,Debit,Houston,D000016,49.172.82.247,M015,Online,27,Engineer,287,1,627.79,2024-11-04 08:07:00,18,Monday,552,1.078848022427882,-1,Fraud,Unusually long transaction duration"
"TX000450,AC00407,689.29,2023-01-06 17:30:00,Debit,El Paso,D000286,166.41.54.117,M034,ATM,22,Student,100,1,168.84,2024-11-04 08:07:00,17,Friday,667,4.082504145936982,-1,Fraud,Unusual transaction pattern detected"
"TX000451,AC00495,745.03,2023-08-03 17:42:00,Debit,Fort Worth,D000031,30.92.249.132,M075,Online,28,Student,231,1,160.57,2024-11-04 08:09:00,17,Thursday,458,4.639907828361462,-1,Fraud,Unusually long transaction duration"
"TX000455,AC00264,611.11,2023-10-18 18:32:00,Debit,Detroit,D000215,141.201.46.191,M045,ATM,20,Student,282,4,919.84,2024-11-04 08:11:00,18,Wednesday,382,0.6643655418333623,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX000464,AC00417,302.16,2023-10-18 17:47:00,Debit,Kansas City,D000123,84.237.126.96,M014,Online,80,Retired,138,5,3876.61,2024-11-04 08:07:00,17,Wednesday,382,0.07794438955685509,-1,Fraud,Multiple login attempts"
"TX000476,AC00464,1431.3,2023-09-04 18:46:00,Debit,Oklahoma City,D000563,7.105.184.86,M082,ATM,18,Student,168,1,1058.13,2024-11-04 08:11:00,18,Monday,426,1.3526693317456266,-1,Fraud,High transaction amount"
"TX000509,AC00353,127.0,2023-09-15 17:09:00,Credit,Nashville,D000024,154.138.163.229,M015,Branch,19,Student,68,5,431.16,2024-11-04 08:10:00,17,Friday,415,0.2945542258094443,-1,Fraud,Multiple login attempts"
"TX000548,AC00456,97.09,2023-04-10 18:26:00,Debit,Fort Worth,D000164,221.206.44.63,M052,ATM,24,Student,202,4,1579.57,2024-11-04 08:06:00,18,Monday,573,0.061466095203124904,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX000552,AC00465,106.16,2023-04-14 17:21:00,Debit,Phoenix,D000673,48.89.167.189,M098,ATM,56,Doctor,277,4,7487.79,2024-11-04 08:08:00,17,Friday,569,0.014177748040476562,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX000594,AC00039,139.57,2023-11-17 17:59:00,Debit,Fort Worth,D000222,13.30.106.126,M030,ATM,19,Student,263,3,271.78,2024-11-04 08:07:00,17,Friday,352,0.5135403635293252,-1,Fraud,Unusually long transaction duration"
"TX000615,AC00466,1342.25,2023-04-28 18:11:00,Credit,Fort Worth,D000643,28.149.72.129,M032,Branch,21,Student,235,1,694.03,2024-11-04 08:08:00,18,Friday,555,1.9339942077431813,-1,Fraud,""High transaction amount, Unusually long transaction duration"""
"TX000654,AC00423,1919.11,2023-06-27 17:48:00,Debit,Portland,D000191,207.157.126.125,M033,ATM,30,Doctor,161,1,11090.24,2024-11-04 08:10:00,17,Tuesday,495,0.1730449476296275,-1,Fraud,High transaction amount"
"TX000686,AC00071,119.3,2023-08-28 16:08:00,Debit,Mesa,D000597,90.111.245.138,M058,Branch,34,Engineer,22,5,319.04,2024-11-04 08:08:00,16,Monday,433,0.37393430290872615,-1,Fraud,Multiple login attempts"
"TX000692,AC00418,25.94,2023-10-16 18:53:00,Credit,San Jose,D000232,42.219.228.159,M003,Online,58,Retired,211,5,4815.11,2024-11-04 08:06:00,18,Monday,384,0.005387208184236706,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX000694,AC00011,733.29,2023-03-15 18:42:00,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,2024-11-04 08:07:00,18,Wednesday,599,0.07032607653208017,-1,Fraud,Multiple login attempts"
"TX000738,AC00149,1092.73,2023-01-23 17:24:00,Debit,Columbus,D000688,56.89.80.133,M064,Branch,58,Retired,11,1,1390.98,2024-11-04 08:07:00,17,Monday,650,0.785582826496427,-1,Fraud,High transaction amount"
"TX000773,AC00093,827.14,2023-01-17 17:25:00,Debit,El Paso,D000645,215.97.143.157,M018,Branch,36,Engineer,265,4,9800.21,2024-11-04 08:08:00,17,Tuesday,656,0.0844002322399214,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX000793,AC00468,253.55,2023-01-11 16:56:00,Debit,Jacksonville,D000112,41.82.55.163,M007,ATM,28,Engineer,85,5,2797.26,2024-11-04 08:09:00,16,Wednesday,662,0.09064227136555057,-1,Fraud,Multiple login attempts"
"TX000808,AC00316,668.67,2023-11-07 17:38:00,Debit,Detroit,D000682,184.59.28.72,M019,Online,44,Doctor,143,4,13446.81,2024-11-04 08:06:00,17,Tuesday,362,0.04972703563149922,-1,Fraud,Multiple login attempts"
"TX000838,AC00169,39.21,2023-05-10 16:15:00,Debit,Miami,D000059,105.87.212.115,M093,ATM,66,Doctor,245,4,9385.57,2024-11-04 08:11:00,16,Wednesday,543,0.004177689794013576,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX000851,AC00124,23.4,2023-02-08 18:27:00,Debit,El Paso,D000079,74.58.165.67,M027,ATM,46,Doctor,175,4,14851.28,2024-11-04 08:07:00,18,Wednesday,634,0.0015756217645886415,-1,Fraud,Multiple login attempts"
"TX000899,AC00083,1531.31,2023-10-23 18:00:00,Debit,San Diego,D000319,91.204.200.167,M078,Online,18,Student,62,4,859.86,2024-11-04 08:06:00,18,Monday,377,1.7808829344311863,-1,Fraud,""High transaction amount, Multiple login attempts"""
"TX000910,AC00438,120.86,2023-11-16 17:57:00,Debit,Colorado Springs,D000035,184.146.10.88,M081,Online,33,Doctor,162,4,13566.58,2024-11-04 08:11:00,17,Thursday,353,0.008908656418935354,-1,Fraud,Multiple login attempts"
"TX000935,AC00456,1022.75,2023-01-19 16:45:00,Credit,San Jose,D000294,190.164.160.79,M091,Branch,62,Doctor,158,1,207.74,2024-11-04 08:10:00,16,Thursday,654,4.9232213343602576,-1,Fraud,High transaction amount"
"TX000954,AC00187,119.95,2023-04-10 17:53:00,Credit,Philadelphia,D000292,214.32.109.197,M092,Branch,62,Retired,47,5,2596.61,2024-11-04 08:10:00,17,Monday,573,0.04619484635736595,-1,Fraud,Multiple login attempts"
"TX000962,AC00174,353.59,2023-08-11 17:57:00,Credit,New York,D000311,198.24.183.157,M046,Branch,52,Retired,109,5,1822.34,2024-11-04 08:10:00,17,Friday,450,0.1940307516709286,-1,Fraud,Multiple login attempts"
"TX001030,AC00337,880.04,2023-10-30 18:58:00,Debit,Sacramento,D000057,66.255.7.16,M093,ATM,25,Student,29,1,261.97,2024-11-04 08:07:00,18,Monday,370,3.359315952208268,-1,Fraud,Unusual transaction pattern detected"
"TX001040,AC00284,575.62,2023-06-12 18:30:00,Debit,Oklahoma City,D000682,116.175.11.222,M081,Online,43,Doctor,129,1,234.41,2024-11-04 08:11:00,18,Monday,510,2.455611961947016,-1,Fraud,Unusual transaction pattern detected"
"TX001043,AC00246,180.65,2023-12-04 17:54:00,Debit,Charlotte,D000552,10.223.224.50,M012,Branch,22,Student,38,5,816.01,2024-11-04 08:09:00,17,Monday,335,0.2213820909057487,-1,Fraud,Multiple login attempts"
"TX001058,AC00191,83.07,2023-01-06 16:13:00,Debit,Miami,D000182,138.210.196.19,M026,Branch,27,Engineer,291,4,6704.76,2024-11-04 08:10:00,16,Friday,667,0.012389705224348074,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX001122,AC00426,303.97,2023-02-02 16:55:00,Debit,Fort Worth,D000215,7.146.35.122,M056,Online,24,Student,77,5,1590.88,2024-11-04 08:07:00,16,Thursday,640,0.19107035100070402,-1,Fraud,Multiple login attempts"
"TX001137,AC00032,341.67,2023-03-06 16:45:00,Debit,Omaha,D000160,140.94.123.72,M037,Branch,53,Retired,96,5,1442.29,2024-11-04 08:09:00,16,Monday,608,0.2368941059010324,-1,Fraud,Multiple login attempts"
"TX001193,AC00498,841.5,2023-05-22 16:33:00,Credit,Atlanta,D000659,207.157.126.125,M020,Branch,25,Student,287,1,352.31,2024-11-04 08:09:00,16,Monday,531,2.3885214725667736,-1,Fraud,Unusually long transaction duration"
"TX001214,AC00170,1192.2,2023-12-21 16:21:00,Credit,Jacksonville,D000174,40.10.25.102,M093,Branch,60,Retired,103,5,7816.41,2024-11-04 08:09:00,16,Thursday,318,0.15252526415579531,-1,Fraud,""High transaction amount, Multiple login attempts"""
"TX001248,AC00071,1647.74,2023-12-25 17:41:00,Debit,Louisville,D000593,113.137.153.101,M049,ATM,67,Retired,52,1,1483.84,2024-11-04 08:09:00,17,Monday,314,1.1104566530084108,-1,Fraud,High transaction amount"
"TX001255,AC00070,142.19,2023-06-15 18:28:00,Debit,Houston,D000416,85.191.79.161,M005,Branch,18,Student,27,4,524.46,2024-11-04 08:09:00,18,Thursday,507,0.2711169583953018,-1,Fraud,Multiple login attempts"
"TX001259,AC00020,603.23,2023-08-24 17:34:00,Debit,Detroit,D000238,38.210.156.148,M017,Branch,28,Student,48,1,117.98,2024-11-04 08:08:00,17,Thursday,437,5.112985251737583,-1,Fraud,Unusual transaction pattern detected"
"TX001274,AC00431,1235.69,2023-05-24 16:14:00,Credit,San Jose,D000216,69.82.61.135,M048,Branch,20,Student,118,1,420.25,2024-11-04 08:09:00,16,Wednesday,529,2.9403688280785247,-1,Fraud,High transaction amount"
"TX001326,AC00020,359.65,2023-01-12 17:58:00,Credit,Jacksonville,D000133,45.64.74.86,M085,Online,25,Student,289,1,219.53,2024-11-04 08:09:00,17,Thursday,661,1.6382726734387099,-1,Fraud,Unusually long transaction duration"
"TX001424,AC00443,1076.98,2023-12-20 18:12:00,Debit,Detroit,D000474,49.31.186.82,M090,Branch,60,Doctor,173,1,11833.73,2024-11-04 08:09:00,18,Wednesday,319,0.09100934363045296,-1,Fraud,High transaction amount"
"TX001460,AC00460,659.71,2023-05-05 16:10:00,Credit,San Jose,D000095,150.83.4.238,M052,Branch,21,Student,148,1,106.86,2024-11-04 08:09:00,16,Friday,548,6.173591615197455,-1,Fraud,Unusual transaction pattern detected"
"TX001532,AC00432,26.07,2023-03-16 17:00:00,Debit,Baltimore,D000552,194.174.252.1,M061,Branch,20,Student,19,3,349.98,2024-11-04 08:10:00,17,Thursday,598,0.07448997085547746,-1,Fraud,Unusual transaction pattern detected"
"TX001535,AC00407,872.72,2023-04-24 16:47:00,Debit,Washington,D000559,216.79.134.201,M033,Online,22,Student,288,1,503.01,2024-11-04 08:10:00,16,Monday,559,1.7349953281246895,-1,Fraud,Unusually long transaction duration"
"TX001558,AC00245,262.43,2023-06-13 17:26:00,Credit,San Diego,D000365,172.184.35.29,M046,Online,37,Doctor,274,5,12841.01,2024-11-04 08:07:00,17,Tuesday,509,0.02043686594746052,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX001585,AC00358,434.17,2023-01-05 16:40:00,Debit,Atlanta,D000238,161.161.26.115,M010,ATM,21,Student,148,5,5335.44,2024-11-04 08:09:00,16,Thursday,668,0.08137473198086756,-1,Fraud,Multiple login attempts"
"TX001619,AC00305,108.75,2023-10-17 16:09:00,Debit,Houston,D000081,119.163.214.161,M097,ATM,50,Doctor,23,4,14829.85,2024-11-04 08:10:00,16,Tuesday,383,0.0073331827361706285,-1,Fraud,Multiple login attempts"
"TX001697,AC00108,849.76,2023-08-16 16:28:00,Debit,Seattle,D000690,64.89.183.39,M023,ATM,25,Student,269,1,373.88,2024-11-04 08:07:00,16,Wednesday,445,2.272814806889911,-1,Fraud,Unusually long transaction duration"
"TX001704,AC00205,1294.81,2023-12-11 16:53:00,Credit,Washington,D000489,76.0.164.168,M026,Branch,45,Engineer,279,1,9927.75,2024-11-04 08:11:00,16,Monday,328,0.1304233084032132,-1,Fraud,""High transaction amount, Unusually long transaction duration"""
"TX001732,AC00333,1.93,2023-10-19 18:06:00,Debit,Chicago,D000297,162.58.247.55,M030,Branch,47,Doctor,175,5,5684.09,2024-11-04 08:08:00,18,Thursday,381,0.00033954423663242486,-1,Fraud,Multiple login attempts"
"TX001734,AC00108,238.54,2023-04-07 16:04:00,Debit,Indianapolis,D000428,83.182.211.68,M006,ATM,19,Student,12,4,868.91,2024-11-04 08:07:00,16,Friday,576,0.27452785674005364,-1,Fraud,Multiple login attempts"
"TX001775,AC00358,17.79,2023-02-22 17:01:00,Debit,Jacksonville,D000409,203.245.215.62,M091,Branch,61,Retired,162,5,2281.9,2024-11-04 08:11:00,17,Wednesday,620,0.007796134799947412,-1,Fraud,Multiple login attempts"
"TX001802,AC00018,331.32,2023-06-05 17:24:00,Debit,Sacramento,D000334,200.164.13.160,M078,Branch,61,Doctor,137,5,13054.54,2024-11-04 08:07:00,17,Monday,517,0.02537967634248315,-1,Fraud,Multiple login attempts"
"TX001885,AC00071,451.31,2023-12-04 16:57:00,Debit,Fort Worth,D000020,68.254.244.208,M046,ATM,62,Retired,166,5,2963.29,2024-11-04 08:07:00,16,Monday,335,0.15230031485274814,-1,Fraud,Multiple login attempts"
"TX001970,AC00189,146.55,2023-08-03 18:35:00,Debit,Virginia Beach,D000163,82.75.200.117,M002,Online,54,Retired,124,5,4087.44,2024-11-04 08:07:00,18,Thursday,458,0.03585373730256591,-1,Fraud,Multiple login attempts"
"TX001973,AC00480,1087.9,2023-03-27 18:06:00,Debit,Boston,D000549,112.86.148.212,M053,ATM,78,Retired,103,1,2513.51,2024-11-04 08:12:00,18,Monday,587,0.43282103512617814,-1,Fraud,High transaction amount"
"TX002007,AC00227,28.04,2023-02-15 16:37:00,Debit,Los Angeles,D000101,114.223.129.47,M008,ATM,57,Doctor,146,5,11197.54,2024-11-04 08:12:00,16,Wednesday,627,0.0025041214409593534,-1,Fraud,Multiple login attempts"
"TX002054,AC00331,58.32,2023-07-31 16:21:00,Credit,Louisville,D000135,87.50.72.69,M011,Branch,29,Engineer,275,4,6027.49,2024-11-04 08:06:00,16,Monday,461,0.009675669308451778,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX002074,AC00228,441.26,2023-02-27 16:07:00,Credit,Tucson,D000490,92.180.81.50,M074,Branch,58,Doctor,87,5,13704.92,2024-11-04 08:11:00,16,Monday,615,0.03219719633533067,-1,Fraud,Multiple login attempts"
"TX002087,AC00029,1192.95,2023-12-04 18:30:00,Debit,Las Vegas,D000227,71.93.189.160,M068,Branch,23,Student,73,1,325.15,2024-11-04 08:08:00,18,Monday,335,3.6689220359833925,-1,Fraud,High transaction amount"
"TX002112,AC00021,762.74,2023-05-02 17:24:00,Debit,Los Angeles,D000196,8.136.178.116,M053,ATM,64,Doctor,244,1,207.1,2024-11-04 08:06:00,17,Tuesday,551,3.682955094157412,-1,Fraud,Unusually long transaction duration"
"TX002125,AC00039,737.46,2023-01-03 16:28:00,Credit,Albuquerque,D000443,202.194.199.70,M037,Branch,53,Doctor,75,4,634.16,2024-11-04 08:07:00,16,Tuesday,670,1.1628926453891764,-1,Fraud,Multiple login attempts"
"TX002160,AC00216,624.0,2023-02-16 17:34:00,Debit,Houston,D000207,113.137.153.101,M097,Branch,26,Engineer,132,5,4976.18,2024-11-04 08:11:00,17,Thursday,626,0.1253973931811148,-1,Fraud,Multiple login attempts"
"TX002162,AC00139,10.15,2023-02-23 16:51:00,Debit,Austin,D000531,55.139.104.163,M004,ATM,59,Doctor,58,5,7155.04,2024-11-04 08:11:00,16,Thursday,619,0.0014185804691518146,-1,Fraud,Multiple login attempts"
"TX002192,AC00131,879.25,2023-11-07 17:44:00,Credit,Memphis,D000073,190.164.160.79,M086,Online,24,Student,137,1,125.85,2024-11-04 08:08:00,17,Tuesday,362,6.9864918553833935,-1,Fraud,Unusual transaction pattern detected"
"TX002216,AC00290,1413.24,2023-11-06 18:59:00,Debit,New York,D000356,166.41.54.117,M016,ATM,58,Engineer,199,1,7272.01,2024-11-04 08:11:00,18,Monday,363,0.19433966674963318,-1,Fraud,High transaction amount"
"TX002263,AC00279,15.81,2023-03-02 18:36:00,Debit,Oklahoma City,D000606,96.24.89.146,M018,Branch,69,Doctor,11,4,8384.85,2024-11-04 08:12:00,18,Thursday,612,0.0018855435696524087,-1,Fraud,Multiple login attempts"
"TX002272,AC00295,308.85,2023-11-29 18:03:00,Credit,Los Angeles,D000342,116.43.88.219,M030,Branch,20,Student,33,2,333.19,2024-11-04 08:08:00,18,Wednesday,340,0.926948587892794,-1,Fraud,Unusual transaction pattern detected"
"TX002274,AC00357,806.97,2023-03-07 17:48:00,Debit,Seattle,D000691,193.221.15.59,M028,Online,25,Student,11,1,102.2,2024-11-04 08:08:00,17,Tuesday,607,7.8959882583170256,-1,Fraud,Unusual transaction pattern detected"
"TX002289,AC00149,336.01,2023-11-09 18:45:00,Debit,Colorado Springs,D000216,16.250.113.156,M043,Online,63,Doctor,121,4,9938.2,2024-11-04 08:08:00,18,Thursday,360,0.033809945462961094,-1,Fraud,Multiple login attempts"
"TX002311,AC00243,176.52,2023-03-14 17:06:00,Credit,San Diego,D000333,223.32.70.156,M022,Online,73,Retired,94,5,7132.08,2024-11-04 08:08:00,17,Tuesday,600,0.024750143015782215,-1,Fraud,Multiple login attempts"
"TX002331,AC00415,69.38,2023-01-11 16:09:00,Debit,Detroit,D000191,22.196.202.183,M042,Branch,69,Doctor,280,2,12072.11,2024-11-04 08:11:00,16,Wednesday,662,0.0057471311974460135,-1,Fraud,Unusually long transaction duration"
"TX002373,AC00260,95.23,2023-10-16 18:47:00,Debit,Denver,D000287,5.252.94.135,M077,Online,20,Student,60,3,966.88,2024-11-04 08:11:00,18,Monday,384,0.0984920569253682,-1,Fraud,Unusual transaction pattern detected"
"TX002383,AC00119,761.73,2023-09-11 17:15:00,Debit,Columbus,D000191,89.6.100.149,M075,ATM,19,Student,27,1,151.28,2024-11-04 08:09:00,17,Monday,419,5.0352326811211,-1,Fraud,Unusual transaction pattern detected"
"TX002415,AC00028,1664.33,2023-09-25 17:11:00,Debit,San Antonio,D000072,116.106.207.139,M064,Branch,18,Student,65,1,1588.31,2024-11-04 08:07:00,17,Monday,405,1.0478621931486927,-1,Fraud,High transaction amount"
"TX002424,AC00340,332.06,2023-06-21 16:38:00,Debit,Seattle,D000365,94.37.250.128,M086,ATM,29,Doctor,221,4,11826.52,2024-11-04 08:06:00,16,Wednesday,501,0.02807757480645194,-1,Fraud,""Multiple login attempts, Unusually long transaction duration"""
"TX002446,AC00439,403.01,2023-09-04 17:32:00,Debit,Washington,D000677,223.32.70.156,M029,Online,63,Doctor,286,3,10513.52,2024-11-04 08:09:00,17,Monday,426,0.03833254704418691,-1,Fraud,Unusually long transaction duration"
